sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
103_1	2	1000	2.00E+05	0.0015625	1.95313E-06	-4
103_2	2	1000	2.00E+05	0.015625	1.95313E-05	-4
103_3	2	1000	2.00E+05	0.03125	3.90625E-05	-4
103_4	2	1000	2.00E+05	0.0625	0.000078125	-4
103_5	2	1000	2.00E+05	0.125	0.00015625	-4
103_6	2	1000	2.00E+05	0.25	0.0003125	-4
103_7	2	1000	2.00E+05	0.5	0.000625	-4
103_8	2	1000	2.00E+05	1	0.00125	-4
103_9	2	1000	2.00E+05	2	0.0025	-4
103_10	2	1000	2.00E+05	4	0.005	-4
103_11	2	1000	2.00E+05	8	0.01	-4
103_12	2	1000	2.00E+05	16	0.02	-4
103_1	3	1000	3.00E+05	0.009765625	1.95313E-06	0
103_2	5	1000	5.00E+05	0.09765625	1.95313E-05	0
103_3	3	1000	3.00E+05	0.1953125	3.90625E-05	0
103_4	4	1000	4.00E+05	0.390625	0.000078125	0
103_5	6	1000	6.00E+05	0.78125	0.00015625	0
103_6	6	1000	6.00E+05	1.5625	0.0003125	0
103_7	3	1000	3.00E+05	3.125	0.000625	0
103_8	4	1000	4.00E+05	6.25	0.00125	0
103_9	5	1000	5.00E+05	12.5	0.0025	0
103_10	3	1000	3.00E+05	25	0.005	0
103_11	3	1000	3.00E+05	50	0.01	0
103_12	4	1000	4.00E+05	100	0.02	0
103_1	6	1000	6.00E+05	0.0015625	1.95313E-06	1
103_2	5	1000	5.00E+05	0.015625	1.95313E-05	1
103_3	5	1000	5.00E+05	0.03125	3.90625E-05	1
103_4	6	1000	6.00E+05	0.0625	0.000078125	1
103_5	7	1000	7.00E+05	0.125	0.00015625	1
103_6	5	1000	5.00E+05	0.25	0.0003125	1
103_7	4	1000	4.00E+05	0.5	0.000625	1
103_8	5	1000	5.00E+05	1	0.00125	1
103_9	4	1000	4.00E+05	2	0.0025	1
103_10	4	1000	4.00E+05	4	0.005	1
103_11	3	1000	3.00E+05	8	0.01	1
103_12	3	1000	3.00E+05	16	0.02	1
103_1	5	1000	5.00E+05	0.0015625	1.95313E-06	2
103_2	7	1000	7.00E+05	0.015625	1.95313E-05	2
103_3	7	1000	7.00E+05	0.03125	3.90625E-05	2
103_4	5	1000	5.00E+05	0.0625	0.000078125	2
103_5	6	1000	6.00E+05	0.125	0.00015625	2
103_6	3	1000	3.00E+05	0.25	0.0003125	2
103_7	2	1000	2.00E+05	0.5	0.000625	2
103_8	3	1000	3.00E+05	1	0.00125	2
103_9	3	1000	3.00E+05	2	0.0025	2
103_10	15	100	1.50E+05	4	0.005	2
103_11	11	100	1.10E+05	8	0.01	2
103_12	10	100	1.00E+05	16	0.02	2
103_1	5	10000	5.00E+06	0.0015625	1.95313E-06	3
103_2	3	10000	3.00E+06	0.015625	1.95313E-05	3
103_3	5	10000	5.00E+06	0.03125	3.90625E-05	3
103_4	5	10000	5.00E+06	0.0625	0.000078125	3
103_5	13	1000	1.30E+06	0.125	0.00015625	3
103_6	12	1000	1.20E+06	0.25	0.0003125	3
103_7	9	1000	9.00E+05	0.5	0.000625	3
103_8	18	100	1.80E+05	1	0.00125	3
103_9	17	100	1.70E+05	2	0.0025	3
103_10	20	100	2.00E+05	4	0.005	3
103_11	9	100	9.00E+04	8	0.01	3
103_12	6	100	6.00E+04	16	0.02	3
103_1	5	10000	5.00E+06	0.0015625	1.95313E-06	4
103_2	3	10000	3.00E+06	0.015625	1.95313E-05	4
103_3	5	10000	5.00E+06	0.03125	3.90625E-05	4
103_4	5	10000	5.00E+06	0.0625	0.000078125	4
103_5	5	1000	5.00E+05	0.125	0.00015625	4
103_6	13	100	1.30E+05	0.25	0.0003125	4
103_7	15	100	1.50E+05	0.5	0.000625	4
103_8	14	100	1.40E+05	1	0.00125	4
103_9	5	100	5.00E+04	2	0.0025	4
103_10	7	100	7.00E+04	4	0.005	4
103_11	3	100	3.00E+04	8	0.01	4
103_12	0	1	0.00E+00	16	0.02	4
103_1	7	100000	7.00E+07	0.0015625	1.95313E-06	5
103_2	17	10000	1.70E+07	0.015625	1.95313E-05	5
103_3	3	10000	3.00E+06	0.03125	3.90625E-05	5
103_4	9	1000	9.00E+05	0.0625	0.000078125	5
103_5	6	100	6.00E+04	0.125	0.00015625	5
103_6	3	10	3.00E+03	0.25	0.0003125	5
103_7	5	10	5.00E+03	0.5	0.000625	5
103_8	5	10	5.00E+03	1	0.00125	5
103_9	4	10	4.00E+03	2	0.0025	5
103_10	3	1	4.00E+03	4	0.005	5
103_11	0	1	0.00E+00	8	0.01	5
103_12	0	1	0.00E+00	16	0.02	5
103_1	4	100000	4.00E+07	0.0015625	1.95313E-06	6
103_2	5	100000	5.00E+07	0.015625	1.95313E-05	6
103_3	15	10000	1.50E+07	0.03125	3.90625E-05	6
103_4	11	1000	1.10E+06	0.0625	0.000078125	6
103_5	13	100	1.30E+05	0.125	0.00015625	6
103_6	5	100	5.00E+04	0.25	0.0003125	6
103_7	3	100	3.00E+04	0.5	0.000625	6
103_8	5	100	5.00E+04	1	0.00125	6
103_9	4	100	4.00E+04	2	0.0025	6
103_10	0	1	0.00E+00	4	0.005	6
103_11	0	1	0.00E+00	8	0.01	6
103_12	0	1	0.00E+00	16	0.02	6
