sample	count 	dilution	CFU.per.ml	MIC	antibiotic.conc	hours
F89_1	11	1000	1.10E+06	0.004882813	0.004882813	-2
F89_2	11	1000	1.10E+06	0.009765625	0.048828125	-2
F89_3	11	1000	1.10E+06	0.01953125	0.09765625	-2
F89_4	11	1000	1.10E+06	0.0390625	0.1953125	-2
F89_5	11	1000	1.10E+06	0.078125	0.390625	-2
F89_6	11	1000	1.10E+06	0.15625	0.78125	-2
F89_7	11	1000	1.10E+06	0.3125	1.5625	-2
F89_8	11	1000	1.10E+06	0.625	3.125	-2
F89_9	11	1000	1.10E+06	1.25	6.25	-2
F89_10	11	1000	1.10E+06	2.5	12.5	-2
F89_11	11	1000	1.10E+06	5	25	-2
F89_12	11	1000	1.10E+06	10	50	-2
F89_1	23	1000	2.30E+06	0.004882813	0.004882813	0
F89_2	12	1000	1.20E+06	0.009765625	0.048828125	0
F89_3	12	1000	1.20E+06	0.01953125	0.09765625	0
F89_4	10	1000	1.00E+06	0.0390625	0.1953125	0
F89_5	9	1000	9.00E+05	0.078125	0.390625	0
F89_6	12	1000	1.20E+06	0.15625	0.78125	0
F89_7	6	1000	6.00E+05	0.3125	1.5625	0
F89_8	6	1000	6.00E+05	0.625	3.125	0
F89_9	12	1000	1.20E+06	1.25	6.25	0
F89_10	10	1000	1.00E+06	2.5	12.5	0
F89_11	10	1000	1.00E+06	5	25	0
F89_12	11	1000	1.10E+06	10	50	0
F89_1	13	1000	1.30E+06	0.004882813	0.004882813	1
F89_2	14	1000	1.40E+06	0.009765625	0.048828125	1
F89_3	9	1000	9.00E+05	0.01953125	0.09765625	1
F89_4	11	1000	1.10E+06	0.0390625	0.1953125	1
F89_5	8	1000	8.00E+05	0.078125	0.390625	1
F89_6	13	1000	1.30E+06	0.15625	0.78125	1
F89_7	15	1000	1.50E+06	0.3125	1.5625	1
F89_8	7	1000	7.00E+05	0.625	3.125	1
F89_9	10	1000	1.00E+06	1.25	6.25	1
F89_10	10	1000	1.00E+06	2.5	12.5	1
F89_11	6	1000	6.00E+05	5	25	1
F89_12	7	1000	7.00E+05	10	50	1
F89_1	5	10000	5.00E+06	0.004882813	0.004882813	2
F89_2	8	10000	8.00E+06	0.009765625	0.048828125	2
F89_3	6	10000	6.00E+06	0.01953125	0.09765625	2
F89_4	4	10000	4.00E+06	0.0390625	0.1953125	2
F89_5	4	10000	4.00E+06	0.078125	0.390625	2
F89_6	5	10000	5.00E+06	0.15625	0.78125	2
F89_7	13	1000	1.30E+06	0.3125	1.5625	2
F89_8	15	1000	1.50E+06	0.625	3.125	2
F89_9	10	1000	1.00E+06	1.25	6.25	2
F89_10	10	1000	1.00E+06	2.5	12.5	2
F89_11	10	1000	1.00E+06	5	25	2
F89_12	13	1000	1.30E+06	10	50	2
F89_1	8	10000	8.00E+06	0.004882813	0.004882813	3
F89_2	8	10000	8.00E+06	0.009765625	0.048828125	3
F89_3	7	10000	7.00E+06	0.01953125	0.09765625	3
F89_4	9	10000	9.00E+06	0.0390625	0.1953125	3
F89_5	8	10000	8.00E+06	0.078125	0.390625	3
F89_6	4	10000	4.00E+06	0.15625	0.78125	3
F89_7	11	1000	1.10E+06	0.3125	1.5625	3
F89_8	22	100	2.20E+05	0.625	3.125	3
F89_9	12	100	1.20E+05	1.25	6.25	3
F89_10	11	100	1.10E+05	2.5	12.5	3
F89_11	11	100	1.10E+05	5	25	3
F89_12	6	100	6.00E+04	10	50	3
F89_1	21	10000	2.10E+07	0.004882813	0.004882813	4
F89_2	12	10000	1.20E+07	0.009765625	0.048828125	4
F89_3	15	10000	1.50E+07	0.01953125	0.09765625	4
F89_4	16	10000	1.60E+07	0.0390625	0.1953125	4
F89_5	14	10000	1.40E+07	0.078125	0.390625	4
F89_6	9	10000	9.00E+06	0.15625	0.78125	4
F89_7	7	10000	7.00E+06	0.3125	1.5625	4
F89_8	7	1000	7.00E+05	0.625	3.125	4
F89_9	12	100	1.20E+05	1.25	6.25	4
F89_10	4	100	4.00E+04	2.5	12.5	4
F89_11	9	100	9.00E+04	5	25	4
F89_12	3	100	3.00E+04	10	50	4
F89_1	16	100000	1.60E+08	0.004882813	0.004882813	5
F89_2	8	100000	8.00E+07	0.009765625	0.048828125	5
F89_3	6	100000	6.00E+07	0.01953125	0.09765625	5
F89_4	10	100000	1.00E+08	0.0390625	0.1953125	5
F89_5	3	100000	3.00E+07	0.078125	0.390625	5
F89_6	5	100000	5.00E+07	0.15625	0.78125	5
F89_7	10	10000	1.00E+07	0.3125	1.5625	5
F89_8	18	100	1.80E+05	0.625	3.125	5
F89_9	12	100	1.20E+05	1.25	6.25	5
F89_10	13	100	1.30E+05	2.5	12.5	5
F89_11	5	100	5.00E+04	5	25	5
F89_12	4	100	4.00E+04	10	50	5
F89_1	21	100000	2.10E+08	0.004882813	0.004882813	6
F89_2	12	100000	1.20E+08	0.009765625	0.048828125	6
F89_3	12	100000	1.20E+08	0.01953125	0.09765625	6
F89_4	12	100000	1.20E+08	0.0390625	0.1953125	6
F89_5	12	100000	1.20E+08	0.078125	0.390625	6
F89_6	11	100000	1.10E+08	0.15625	0.78125	6
F89_7	9	10000	9.00E+06	0.3125	1.5625	6
F89_8	14	100	1.40E+05	0.625	3.125	6
F89_9	12	100	1.20E+05	1.25	6.25	6
F89_10	13	100	1.30E+05	2.5	12.5	6
F89_11	18	100	1.80E+05	5	25	6
F89_12	6	100	6.00E+04	10	50	6
